tconst,title,region,language,primaryTitle,originalTitle,startYear,genres,directors,writers
tt13710226,Koozhangal,IN,ta,Pebbles,Koozhangal,2021.0,Drama,nm6648661,nm6648661
tt13717596,Bhimante Vazhi,IN,ml,Bheemante Vazhi,Bheemante Vazhi,2021.0,Comedy,nm10622004,nm5584853
tt13731264,Uyir Ullavarai,IN,ta,Love Story,Love Story,2005.0,Drama,nm12186995,
tt1373202,Raktha Sambandham,IN,ta,Pasamalar,Pasamalar,1961.0,,nm0710615,
tt13748326,Vazhakk,IN,ml,Vazhakku,Vazhakku,2022.0,"Crime,Drama,Thriller",nm6427447,nm6427447
tt13773770,Pizza 3: The Mummy,IN,ta,Pizza 3: The Mummy,Pizza 3: The Mummy,2023.0,"Drama,Horror,Thriller",nm12202184,nm12202184
tt13781128,Paachuvum Athbhuthavilakku,IN,ml,Paachuvum Albhuthavilakkum,Pachuvum Athbutha Vilakkum,2023.0,"Comedy,Drama",nm5763931,nm5763931
tt13842050,The Itch,IN,ml,Deenam,Deenam,2020.0,"Short,Thriller",nm4016732,nm4016732
tt13845438,Naane Varuvean,IN,ta,Naane Varuvean,Naane Varuvean,2022.0,Thriller,nm1421754,"nm1333687,nm1421754"
tt13853504,Chakka Pazham,IN,ml,Chakkappazham,Chakkappazham,2020.0,Comedy,nm8850133,"nm12237541,nm8375398,nm16182313,nm16182316,nm14900940,nm14900939,nm15382008,nm15382007"
tt1385824,Yavarum Nalam,IN,ta,13B: Fear Has a New Address,13B: Fear Has a New Address,2009.0,"Horror,Mystery,Thriller",nm1653460,"nm3508781,nm1653460,nm8661566"
tt1385973,Sattam Oru Vilayaattu,IN,ta,Sattam Oru Vilayattu,Sattam Oru Vilayattu,1987.0,"Action,Drama",nm0151546,nm0151546
tt1386006,Vasantha Raagam,IN,ta,Vasantha Ragam,Vasantha Ragam,1986.0,"Drama,Family,Musical",nm0151546,
tt1388441,Mugavaree,IN,ta,Mugavari,Mugavari,2000.0,"Drama,Romance",nm1922191,"nm0049400,nm1922191"
tt13885428,Anweshippin Kandethum,IN,ml,Anweshippin Kandethum,Anweshippin Kandethum,2024.0,"Crime,Drama,Mystery",nm12251335,nm4980807
tt13907220,Kanteerava,IN,kn,Hardness,Kanteerava,2011.0,Drama,nm6820282,"nm2353436,nm1442514,nm6820282"
tt13913068,Vashi,IN,ml,Vaashi,Vaashi,2022.0,"Drama,Thriller",nm5398535,"nm5398535,nm12262319"
tt13920640,Ormmakal Uppilittathu,IN,ml,Ormakal Uppilittathu,Ormakal Uppilittathu,2021.0,"Romance,Short,Thriller",nm9902059,nm9902059
tt1392146,Indina Ramayana,IN,kn,Endina Ramayana,Endina Ramayana,1984.0,,nm1182241,"nm1182241,nm1033297,nm1127850"
tt1399615,Vallamai Tharayo,IN,ta,Vallamai Thaaraayo,Vallamai Thaaraayo,2008.0,Drama,nm3373917,nm3373917
tt13998526,Vilayath Buddha,IN,ml,Vilaayath Budha,Vilayath Budha,2025.0,"Action,Drama",nm8024596,"nm2839972,nm12299201"
tt14039606,Cauvery Nagara,IN,kn,Kaveri Nagar,Kaveri Nagar,2013.0,Drama,nm12314387,nm12314387
tt14039652,Mughizh,IN,ta,Mugizh,Mugizh,2021.0,Drama,nm12314409,
tt14056670,Pappan,IN,ml,Paappan,Paappan,2022.0,"Crime,Drama,Mystery",nm0430782,nm8786735
tt14058748,Santhoshathinte Onnam Rahasyam (joyful Mystery),IN,ml,Joyful Mystery,Santhoshathinte Onnam Rahasyam,2021.0,Drama,nm6637476,nm6637476
tt14137346,Priyan Oottathilanu,IN,ml,Priyan Ottathilanu,Priyan Ottathilanu,2022.0,"Comedy,Family",nm8786734,"nm11245454,nm11245455"
